id,title,description,category,condition,city,price,currency,posted_at,source
fd6c2aae-a67c-4d0a-8aca-468114fdd2bc,Продаю автоаксессуары — Санкт-Петербург,Покажу сегодня. Без дтп. Документы в наличии. Возможен торг. Состояние отличное. Город: Тюмень.,Автоаксессуары,удовлетворительное,Санкт-Петербург,62854,RUB,2025-03-27T17:16:19,synthetic_ru_private_ads_v2
1de380f2-85b5-44c9-96d5-a923c29737b5,Продаю автоаксессуары — Казань,Город: Воронеж. Договорная. Обслуживание у дилера. Без посредников. Звоните / пишите. Доставка по городу. Бережная эксплуатация.,Автоаксессуары,на запчасти,Уфа,83030,RUB,2025-04-24T16:42:19,synthetic_ru_private_ads_v2
1646a31d-943e-4510-a3f5-57417f3a23db,В продаже автоаксессуары — Нижний Новгород,Гаражное хранение. Город: Новосибирск. Покажу сегодня. Разумный торг.,Автоаксессуары,новое,Хабаровск,70628,RUB,2025-08-02T18:05:19,synthetic_ru_private_ads_v2
f05e6bfb-0561-408e-82f4-9cb9e2c401e0,В НАЛИЧИИ автоаксессуары (Уфа),Двигатель и коробка без нареканий. Город: Владивосток. Документы в наличии. Бережная эксплуатация. Договорная.,Автоаксессуары,на запчасти,Волгоград,144803,RUB,2025-06-10T13:17:19,synthetic_ru_private_ads_v2
ab401e65-ac8f-419c-bb12-1a68637e0220,Новинка автоаксессуары в Ростов-на-Дону — Волгоград,Оперативный показ. Чек/гарантия. Гаражное хранение. Могу отправить тк. Возможен торг. Город: Нижний Новгород. Бережная эксплуатация.,Автоаксессуары,на запчасти,Тюмень,37142,RUB,2025-06-11T13:15:19,synthetic_ru_private_ads_v2
2656da87-e2ac-41e9-83ff-19132dd4b68a,Санкт-Петербург: Распродажа автоаксессуары 📦,Звоните / пишите. Без посредников. Доставка по городу. Обслуживание у дилера. Цена обсуждаема. Город: Самара. После обслуживания.,Автоаксессуары,удовлетворительное,Барнаул,67782,RUB,2025-03-07T13:54:19,synthetic_ru_private_ads_v2
732fb872-1e9c-460f-a16a-60e531dfad8f,Есть в наличии автоаксессуары,Своевременное то. Документы в наличии. После обслуживания. Город: Пермь. Разумный торг.,Автоаксессуары,удовлетворительное,Казань,44380,RUB,2025-04-07T08:18:19,synthetic_ru_private_ads_v2
3897d9d5-061f-4b00-9bd1-a7e0c2470462,Продаю автоаксессуары,Состояние хорошее. Зимняя резина в комплекте. Город: Иркутск. Документы в наличии.,Автоаксессуары,б/у,Уфа,24515,RUB,2025-06-15T19:48:19,synthetic_ru_private_ads_v2
760834d8-c685-467c-a665-8437060192ee,Продам автоаксессуары — Саратов,Документы в наличии. Город: Казань. Бережная эксплуатация. Реальный пробег. Звоните / пишите.,Автоаксессуары,на запчасти,Саратов,62019,RUB,2025-05-29T15:27:19,synthetic_ru_private_ads_v2
a0ffe364-6ca3-42f7-afe0-10aad4b123d9,Новинка автоаксессуары в Ростов-на-Дону,Доставка возможна. Город: Самара. Состояние хорошее. Документы в наличии. Цена обсуждаема. Своевременное то.,Автоаксессуары,отличное,Красноярск,39344,RUB,2025-08-02T04:35:19,synthetic_ru_private_ads_v2
